Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Monday 11.1.2021 11:00;No metering data available for this period;1,21;0,60
Monday 11.1.2021 12:00;No metering data available for this period;1,17;0,50
Monday 11.1.2021 13:00;No metering data available for this period;1,91;0,60
Monday 11.1.2021 14:00;No metering data available for this period;1,98;0,50
Monday 11.1.2021 15:00;No metering data available for this period;1,32;0,50
Monday 11.1.2021 16:00;No metering data available for this period;1,54;0,70
Monday 11.1.2021 17:00;No metering data available for this period;1,59;0,60
Monday 11.1.2021 18:00;No metering data available for this period;1,71;0,50
Monday 11.1.2021 19:00;No metering data available for this period;1,65;0,40
Monday 11.1.2021 20:00;No metering data available for this period;1,98;0,10
Monday 11.1.2021 21:00;No metering data available for this period;1,77;-0,20
Monday 11.1.2021 22:00;3,00;No metering data available for this period;-0,30
Monday 11.1.2021 23:00;1,57;No metering data available for this period;-0,20
Tuesday 12.1.2021 00:00;1,25;No metering data available for this period;-0,30
Tuesday 12.1.2021 01:00;1,24;No metering data available for this period;-0,50
Tuesday 12.1.2021 02:00;1,25;No metering data available for this period;-0,70
Tuesday 12.1.2021 03:00;1,64;No metering data available for this period;-0,70
Tuesday 12.1.2021 04:00;1,15;No metering data available for this period;-0,70
Tuesday 12.1.2021 05:00;1,25;No metering data available for this period;-0,70
Tuesday 12.1.2021 06:00;2,53;No metering data available for this period;-0,80
Tuesday 12.1.2021 07:00;No metering data available for this period;2,61;-0,50
Tuesday 12.1.2021 08:00;No metering data available for this period;2,43;-0,50
Tuesday 12.1.2021 09:00;No metering data available for this period;2,14;-0,40
Tuesday 12.1.2021 10:00;No metering data available for this period;1,28;-0,30
Tuesday 12.1.2021 11:00;No metering data available for this period;1,65;-0,10
Tuesday 12.1.2021 12:00;No metering data available for this period;1,49;0,10
Tuesday 12.1.2021 13:00;No metering data available for this period;1,34;0,00
Tuesday 12.1.2021 14:00;No metering data available for this period;1,27;0,00
Tuesday 12.1.2021 15:00;No metering data available for this period;1,30;0,10
Tuesday 12.1.2021 16:00;No metering data available for this period;2,25;0,10
Tuesday 12.1.2021 17:00;No metering data available for this period;1,59;0,20
Tuesday 12.1.2021 18:00;No metering data available for this period;1,60;0,20
Tuesday 12.1.2021 19:00;No metering data available for this period;2,85;0,00
Tuesday 12.1.2021 20:00;No metering data available for this period;1,65;0,00
Tuesday 12.1.2021 21:00;No metering data available for this period;2,75;-0,20
Tuesday 12.1.2021 22:00;1,34;No metering data available for this period;-0,40
Tuesday 12.1.2021 23:00;1,34;No metering data available for this period;-0,40
Wednesday 13.1.2021 00:00;1,28;No metering data available for this period;-0,30
Wednesday 13.1.2021 01:00;1,30;No metering data available for this period;-0,30
Wednesday 13.1.2021 02:00;1,20;No metering data available for this period;-0,30
Wednesday 13.1.2021 03:00;1,27;No metering data available for this period;-0,20
Wednesday 13.1.2021 04:00;1,12;No metering data available for this period;-0,40
Wednesday 13.1.2021 05:00;1,27;No metering data available for this period;-0,50
Wednesday 13.1.2021 06:00;1,50;No metering data available for this period;-0,60
Wednesday 13.1.2021 07:00;No metering data available for this period;1,34;-0,70
Wednesday 13.1.2021 08:00;No metering data available for this period;2,17;-2,10
Wednesday 13.1.2021 09:00;No metering data available for this period;1,98;-4,00
Wednesday 13.1.2021 10:00;No metering data available for this period;2,13;-4,00
Wednesday 13.1.2021 11:00;No metering data available for this period;1,76;-4,30
Wednesday 13.1.2021 12:00;No metering data available for this period;1,77;-4,90
Wednesday 13.1.2021 13:00;No metering data available for this period;2,40;-5,30
Wednesday 13.1.2021 14:00;No metering data available for this period;1,66;-5,80
Wednesday 13.1.2021 15:00;No metering data available for this period;1,81;-6,20
Wednesday 13.1.2021 16:00;No metering data available for this period;4,39;-6,50
Wednesday 13.1.2021 17:00;No metering data available for this period;5,29;-6,70
Wednesday 13.1.2021 18:00;No metering data available for this period;2,63;-6,60
Wednesday 13.1.2021 19:00;No metering data available for this period;2,78;-6,80
Wednesday 13.1.2021 20:00;No metering data available for this period;2,70;-6,80
Wednesday 13.1.2021 21:00;No metering data available for this period;1,92;-6,90
Wednesday 13.1.2021 22:00;1,80;No metering data available for this period;-6,70
Wednesday 13.1.2021 23:00;2,04;No metering data available for this period;-6,90
Thursday 14.1.2021 00:00;1,75;No metering data available for this period;-6,70
Thursday 14.1.2021 01:00;1,43;No metering data available for this period;-7,40
Thursday 14.1.2021 02:00;1,50;No metering data available for this period;-7,80
Thursday 14.1.2021 03:00;1,88;No metering data available for this period;-8,10
Thursday 14.1.2021 04:00;1,68;No metering data available for this period;-8,80
Thursday 14.1.2021 05:00;1,50;No metering data available for this period;-9,50
Thursday 14.1.2021 06:00;2,09;No metering data available for this period;-10,00
Thursday 14.1.2021 07:00;No metering data available for this period;3,73;-10,20
Thursday 14.1.2021 08:00;No metering data available for this period;2,38;-10,50
Thursday 14.1.2021 09:00;No metering data available for this period;2,80;-10,80
Thursday 14.1.2021 10:00;No metering data available for this period;1,86;-11,00
Thursday 14.1.2021 11:00;No metering data available for this period;2,50;-11,30
Thursday 14.1.2021 12:00;No metering data available for this period;1,57;-11,90
Thursday 14.1.2021 13:00;No metering data available for this period;2,27;-12,70
Thursday 14.1.2021 14:00;No metering data available for this period;2,01;-13,30
Thursday 14.1.2021 15:00;No metering data available for this period;3,03;-14,10
Thursday 14.1.2021 16:00;No metering data available for this period;3,15;-15,00
Thursday 14.1.2021 17:00;No metering data available for this period;2,72;-16,00
Thursday 14.1.2021 18:00;No metering data available for this period;4,00;-16,40
Thursday 14.1.2021 19:00;No metering data available for this period;3,41;-17,10
Thursday 14.1.2021 20:00;No metering data available for this period;2,47;-17,90
Thursday 14.1.2021 21:00;No metering data available for this period;2,38;-18,50
Thursday 14.1.2021 22:00;2,26;No metering data available for this period;-18,90
Thursday 14.1.2021 23:00;2,18;No metering data available for this period;-19,20
Friday 15.1.2021 00:00;2,15;No metering data available for this period;-19,20
Friday 15.1.2021 01:00;2,13;No metering data available for this period;-19,60
Friday 15.1.2021 02:00;2,11;No metering data available for this period;-19,70
Friday 15.1.2021 03:00;2,12;No metering data available for this period;-19,90
Friday 15.1.2021 04:00;2,10;No metering data available for this period;-20,30
Friday 15.1.2021 05:00;2,14;No metering data available for this period;-20,50
Friday 15.1.2021 06:00;2,69;No metering data available for this period;-20,80
Friday 15.1.2021 07:00;No metering data available for this period;3,77;-21,10
Friday 15.1.2021 08:00;No metering data available for this period;2,56;-21,30
Friday 15.1.2021 09:00;No metering data available for this period;2,56;-21,10
Friday 15.1.2021 10:00;No metering data available for this period;2,10;-20,70
Friday 15.1.2021 11:00;No metering data available for this period;2,15;-19,60
Friday 15.1.2021 12:00;No metering data available for this period;2,22;-19,00
Friday 15.1.2021 13:00;No metering data available for this period;4,14;-18,50
Friday 15.1.2021 14:00;No metering data available for this period;3,53;-17,50
Friday 15.1.2021 15:00;No metering data available for this period;3,15;-16,90
Friday 15.1.2021 16:00;No metering data available for this period;7,81;-16,40
Friday 15.1.2021 17:00;No metering data available for this period;4,75;-16,20
Friday 15.1.2021 18:00;No metering data available for this period;4,93;-16,00
Friday 15.1.2021 19:00;No metering data available for this period;4,08;-15,40
Friday 15.1.2021 20:00;No metering data available for this period;2,54;-14,80
Friday 15.1.2021 21:00;No metering data available for this period;2,82;-14,30
Friday 15.1.2021 22:00;2,44;No metering data available for this period;-13,80
Friday 15.1.2021 23:00;2,40;No metering data available for this period;-13,80
Saturday 16.1.2021 00:00;2,19;No metering data available for this period;-13,20
Saturday 16.1.2021 01:00;2,18;No metering data available for this period;-12,60
Saturday 16.1.2021 02:00;2,15;No metering data available for this period;-12,20
Saturday 16.1.2021 03:00;2,19;No metering data available for this period;-12,20
Saturday 16.1.2021 04:00;2,13;No metering data available for this period;-12,40
Saturday 16.1.2021 05:00;2,17;No metering data available for this period;-13,20
Saturday 16.1.2021 06:00;2,16;No metering data available for this period;-14,20
Saturday 16.1.2021 07:00;No metering data available for this period;2,24;-14,90
Saturday 16.1.2021 08:00;No metering data available for this period;2,41;-15,50
Saturday 16.1.2021 09:00;No metering data available for this period;2,39;-16,00
Saturday 16.1.2021 10:00;No metering data available for this period;2,56;-16,00
Saturday 16.1.2021 11:00;No metering data available for this period;2,49;-15,90
Saturday 16.1.2021 12:00;No metering data available for this period;2,35;-14,90
Saturday 16.1.2021 13:00;No metering data available for this period;3,53;-14,50
Saturday 16.1.2021 14:00;No metering data available for this period;3,23;-14,80
Saturday 16.1.2021 15:00;No metering data available for this period;2,96;-15,90
