Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Monday 17.1.2022 05:00;1,41;No metering data available for this period;0,60
Monday 17.1.2022 06:00;1,58;No metering data available for this period;0,70
Monday 17.1.2022 07:00;No metering data available for this period;1,46;0,60
Monday 17.1.2022 08:00;No metering data available for this period;1,88;0,40
Monday 17.1.2022 09:00;No metering data available for this period;3,87;-0,30
Monday 17.1.2022 10:00;No metering data available for this period;2,92;-1,40
Monday 17.1.2022 11:00;No metering data available for this period;2,24;-2,30
Monday 17.1.2022 12:00;No metering data available for this period;2,07;-2,10
Monday 17.1.2022 13:00;No metering data available for this period;1,77;-2,10
Monday 17.1.2022 14:00;No metering data available for this period;1,70;-2,50
Monday 17.1.2022 15:00;No metering data available for this period;1,69;-2,80
Monday 17.1.2022 16:00;No metering data available for this period;2,20;-3,00
Monday 17.1.2022 17:00;No metering data available for this period;2,40;-3,10
Monday 17.1.2022 18:00;No metering data available for this period;2,56;-3,30
Monday 17.1.2022 19:00;No metering data available for this period;2,26;-3,40
Monday 17.1.2022 20:00;No metering data available for this period;2,10;-3,60
Monday 17.1.2022 21:00;No metering data available for this period;3,28;-3,50
Monday 17.1.2022 22:00;2,53;No metering data available for this period;-3,30
Monday 17.1.2022 23:00;1,72;No metering data available for this period;-3,40
Tuesday 18.1.2022 00:00;1,68;No metering data available for this period;-3,50
